id,name,date,latitude,longitude,nodes,links,mutualism,parasitism,predation,bc1,bc2,bc3,bc4,bc5,bc6,bc7,bc8,bc9,bc10,bc11,bc12,bc13,bc14,bc15,bc16,bc17,bc18,bc19,pc1,pc2,pc3,pc4,D
4383,kolpelke_2007_584,2002-08-07T00:00:00.0,46.93333,12.216667,3,2,0,2,0,-0.10614585876464844,6.571958065032959,29.06178092956543,606.5611572265625,12.024999618530273,-10.588749885559082,22.613750457763672,7.381666660308838,-7.0976667404174805,7.381666660308838,-7.0976667404174805,1322.0,163.0,71.0,26.956050872802734,459.0,228.0,459.0,228.0,0.6966995506070521,-2.6455579463837875,0.3736102432347323,-0.8652037137331356,5.980669523535405
4384,kolpelke_2007_116,1992-08-30T00:00:00.0,46.95,10.866667,12,10,0,10,0,-2.437687635421753,6.218250274658203,28.252893447875977,582.3839111328125,9.29800033569336,-12.711250305175781,22.00925064086914,4.68025016784668,-9.039250373840332,4.707916736602783,-9.039250373840332,1060.0,116.0,69.0,16.34992790222168,329.0,228.0,301.0,228.0,1.817233662908893,-2.95342560000199,-0.47682477430246345,-0.22495710350140113,6.99364288028819
4385,kolpelke_2007_239,1996-08-30T00:00:00.0,46.95,10.866667,9,6,0,6,0,-2.437687635421753,6.218250274658203,28.252893447875977,582.3839111328125,9.29800033569336,-12.711250305175781,22.00925064086914,4.68025016784668,-9.039250373840332,4.707916736602783,-9.039250373840332,1060.0,116.0,69.0,16.34992790222168,329.0,228.0,301.0,228.0,1.817233662908893,-2.95342560000199,-0.47682477430246345,-0.22495710350140113,6.99364288028819
4386,kolpelke_2007_455,1982-07-06T00:00:00.0,46.95,11.016667,7,7,0,7,0,-0.9638020992279053,6.521937370300293,29.018632888793945,593.8273315429688,11.125749588012695,-11.349249839782715,22.474998474121094,6.332833290100098,-7.749374866485596,6.332833290100098,-7.749374866485596,987.0,113.0,59.0,20.647991180419922,323.0,194.0,323.0,194.0,1.7097512884853214,-2.1828953305198775,-0.5031380071240411,-0.45979597654805476,6.282245718913273
4387,kolpelke_2007_718,2007-08-01T00:00:00.0,46.95,11.033333,4,3,0,3,0,-0.9638020992279053,6.521937370300293,29.018632888793945,593.8273315429688,11.125749588012695,-11.349249839782715,22.474998474121094,6.332833290100098,-7.749374866485596,6.332833290100098,-7.749374866485596,987.0,113.0,59.0,20.647991180419922,323.0,194.0,323.0,194.0,1.7097512884853214,-2.1828953305198775,-0.5031380071240411,-0.45979597654805476,6.282245718913273
4388,kolpelke_2007_155,1994-08-07T00:00:00.0,46.96667,13.466667,4,3,0,3,0,2.911395788192749,8.62066650390625,34.3155517578125,631.1240844726562,16.243249893188477,-8.878499984741211,25.121749877929688,10.733041763305664,-3.8298749923706055,10.733041763305664,-4.549958229064941,1520.0,181.0,70.0,27.56899642944336,513.0,247.0,513.0,248.0,-0.2182153915841375,-1.822667953195775,1.346661021303626,-0.5395546854788589,5.8248678134079865
4389,kolpelke_2007_588,2003-08-01T00:00:00.0,46.96667,13.766667,12,19,0,19,0,1.3937708139419556,8.110291481018066,33.762638092041016,606.8592529296875,14.057499885559082,-9.96399974822998,24.021499633789062,8.889708518981934,-5.276958465576172,8.889708518981934,-5.637416839599609,1714.0,195.0,81.0,25.13729476928711,556.0,285.0,556.0,288.0,-0.38394588353578163,-2.83815953289091,1.5119485494169056,-0.5733880959149088,7.3286628649302035
4390,kolpelke_2007_381,2000-07-12T00:00:00.0,47.05,10.65,7,6,0,6,0,3.5435729026794434,8.171562194824219,32.95317077636719,626.6581420898438,16.801000595092773,-7.996500015258789,24.797500610351562,11.220375061035156,-3.175874948501587,11.220375061035156,-3.917208433151245,971.0,123.0,57.0,28.47002601623535,351.0,182.0,351.0,184.0,0.7849038885985035,-0.7108203078625543,0.16022050994227818,-0.29426478586036386,3.1885415316359844
4391,kolpelke_2007_720,2007-08-02T00:00:00.0,47.05,11.033333,6,4,0,4,0,-1.969416618347168,6.218583106994629,28.384340286254883,580.8256225585938,9.694250106811523,-12.214249610900879,21.90850067138672,5.13337516784668,-8.56208324432373,5.133541584014893,-8.56208324432373,1240.0,136.0,80.0,17.39381217956543,387.0,264.0,349.0,264.0,1.252652890227815,-3.358183142882147,-0.04496167310014063,-0.165587655741124,6.439883380666114
4392,kolpelke_2007_141,1994-08-07T00:00:00.0,47.05,13.35,13,8,0,8,0,-0.0883541852235794,7.020958423614502,30.882736206054688,589.4955444335938,11.899250030517578,-10.835000038146973,22.734249114990234,7.192500114440918,-6.633416652679443,7.192500114440918,-6.836333274841309,1673.0,194.0,85.0,23.47588348388672,548.0,297.0,548.0,298.0,-0.11865478514726266,-3.4976918416434732,1.1671093668408516,-0.6452575937513161,7.238211606699618
4393,kolpelke_2007_161,1994-08-11T00:00:00.0,47.08333,13.483333,14,15,0,15,0,-0.0883541852235794,7.020958423614502,30.882736206054688,589.4955444335938,11.899250030517578,-10.835000038146973,22.734249114990234,7.192500114440918,-6.633416652679443,7.192500114440918,-6.836333274841309,1673.0,194.0,85.0,23.47588348388672,548.0,297.0,548.0,298.0,-0.11865478514726266,-3.4976918416434732,1.1671093668408516,-0.6452575937513161,7.238211606699618
4394,kolpelke_2007_461,1982-08-01T00:00:00.0,47.1,11.65,17,19,0,19,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
4395,kolpelke_2007_462,1982-08-02T00:00:00.0,47.1,11.65,10,7,0,7,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
